30,0,74.162
54.923,0,58.167
52.318,12.886,59.637
44.096,24.414,63.828
30,31.595,69.722
12.611,30.118,75.236
-1.8092,18.366,78.618
-7.3343,0,79.663
-1.8092,-18.366,78.618
12.611,-30.118,75.236
30,-31.595,69.722
44.096,-24.414,63.828
52.318,-12.886,59.637
70.265,0,38.248
67.224,21.491,39.816
55.806,44.699,44.799
30,65.255,52.676
-8.3225,66.378,59.252
-39.749,40.269,61.5
-50.907,0,61.713
-39.749,-40.269,61.5
-8.3225,-66.378,59.252
30,-65.255,52.676
55.806,-44.699,44.799
67.224,-21.491,39.816
78.581,0,15
75.694,26.382,15
63.454,57.942,15
30,90.786,15
-24.002,93.532,15
-65.144,54.933,15
-78.581,0,15
-65.144,-54.933,15
-24.002,-93.532,15
30,-90.786,15
63.454,-57.942,15
75.694,-26.382,15
